feature,value,samples,precision,recall,fbeta,type
overall,Overall,26048,0.8186802428039945,0.674246089340429,0.7394764768305624,train
education,Some-college,5887,0.7624378109452736,0.5644567219152854,0.6486772486772486,train
education,11th,922,1.0,0.3673469387755102,0.5373134328358209,train
education,Bachelors,4261,0.7961269499731038,0.8466819221967964,0.8206265594677017,train
education,Masters,1363,0.8413878562577447,0.8910761154855643,0.8655194391332058,train
education,Assoc-voc,1112,0.8084112149532711,0.5945017182130584,0.6851485148514852,train
education,7th-8th,528,1.0,0.2058823529411764,0.3414634146341463,train
education,HS-grad,8359,0.8692579505300353,0.3693693693693693,0.5184404636459431,train
education,Assoc-acdm,852,0.7905759162303665,0.7023255813953488,0.7438423645320197,train
education,Prof-school,455,0.8959537572254336,0.9422492401215804,0.9185185185185184,train
education,12th,342,1.0,0.3043478260869565,0.4666666666666667,train
education,5th-6th,285,0.8333333333333334,0.3571428571428571,0.5,train
education,9th,421,1.0,0.1739130434782608,0.2962962962962963,train
education,Doctorate,336,0.8651685393258427,0.9428571428571428,0.90234375,train
education,1st-4th,138,1.0,0.2,0.3333333333333333,train
education,10th,747,1.0,0.2222222222222222,0.3636363636363636,train
education,Preschool,40,1.0,1.0,1.0,train
marital-status,Never-married,8594,0.9358288770053476,0.4557291666666667,0.6129597197898424,train
marital-status,Married-civ-spouse,11912,0.8075689544579859,0.713718820861678,0.7577490219681011,train
marital-status,Divorced,3533,0.9289940828402368,0.4231805929919137,0.5814814814814815,train
marital-status,Separated,841,1.0,0.5294117647058824,0.6923076923076924,train
marital-status,Widowed,801,1.0,0.4393939393939394,0.6105263157894737,train
marital-status,Married-spouse-absent,348,0.8571428571428571,0.4137931034482758,0.5581395348837208,train
marital-status,Married-AF-spouse,19,1.0,0.5,0.6666666666666666,train
occupation,Other-service,2673,0.9642857142857144,0.2410714285714285,0.3857142857142858,train
occupation,Sales,2911,0.7903469079939668,0.6683673469387755,0.7242570836212855,train
occupation,Adm-clerical,2983,0.7985865724381626,0.5635910224438903,0.6608187134502923,train
occupation,Tech-support,716,0.8144796380090498,0.7964601769911505,0.8053691275167785,train
occupation,?,1498,0.7916666666666666,0.4810126582278481,0.5984251968503937,train
occupation,Protective-serv,506,0.8151260504201681,0.6258064516129033,0.7080291970802921,train
occupation,Machine-op-inspct,1591,0.9104477611940298,0.3128205128205128,0.465648854961832,train
occupation,Exec-managerial,3229,0.825507614213198,0.848109517601043,0.8366559485530547,train
occupation,Prof-specialty,3342,0.8210116731517509,0.8554054054054054,0.8378557246856386,train
occupation,Craft-repair,3256,0.8075801749271136,0.3789329685362517,0.515828677839851,train
occupation,Farming-fishing,799,1.0,0.3793103448275862,0.5499999999999999,train
occupation,Transport-moving,1303,0.8240740740740741,0.3409961685823754,0.4823848238482384,train
occupation,Handlers-cleaners,1111,0.8461538461538461,0.2933333333333333,0.4356435643564356,train
occupation,Priv-house-serv,122,1.0,1.0,1.0,train
occupation,Armed-Forces,8,1.0,1.0,1.0,train
relationship,Own-child,4105,0.9047619047619048,0.3584905660377358,0.5135135135135135,train
relationship,Husband,10478,0.8064594463331715,0.7120497427101201,0.7563197449328172,train
relationship,Not-in-family,6673,0.9240121580547112,0.4503703703703703,0.6055776892430279,train
relationship,Wife,1261,0.822550831792976,0.739202657807309,0.778652668416448,train
relationship,Unmarried,2736,0.961038961038961,0.4228571428571429,0.5873015873015873,train
relationship,Other-relative,795,0.8571428571428571,0.5625,0.6792452830188678,train
race,White,22199,0.817790221839328,0.6774308652988403,0.7410226385636222,train
race,Black,2546,0.8222222222222222,0.5910543130990416,0.6877323420074349,train
race,Asian-Pac-Islander,842,0.8333333333333334,0.7327586206896551,0.7798165137614679,train
race,Amer-Indian-Eskimo,239,0.85,0.5666666666666667,0.68,train
race,Other,222,0.8,0.5714285714285714,0.6666666666666666,train
sex,Female,8657,0.853448275862069,0.6239495798319328,0.7208737864077669,train
sex,Male,17391,0.8131942870097484,0.6833682606210707,0.7426501035196688,train
native-country,United-States,23304,0.8175370728562218,0.6720848056537102,0.737709686803064,train
native-country,Cuba,78,1.0,0.7142857142857143,0.8333333333333333,train
native-country,?,479,0.8144329896907216,0.7053571428571429,0.7559808612440192,train
native-country,Germany,115,0.9032258064516128,0.7368421052631579,0.8115942028985507,train
native-country,Mexico,525,0.8333333333333334,0.3333333333333333,0.4761904761904761,train
native-country,Puerto-Rico,86,0.8,0.5714285714285714,0.6666666666666666,train
native-country,Philippines,160,0.8936170212765957,0.7777777777777778,0.8316831683168316,train
native-country,Iran,38,0.7222222222222222,0.8125,0.7647058823529411,train
native-country,El-Salvador,85,1.0,0.8571428571428571,0.923076923076923,train
native-country,Ireland,18,1.0,0.6666666666666666,0.8,train
native-country,Trinadad&Tobago,17,0.5,0.5,0.5,train
native-country,Haiti,39,1.0,0.3333333333333333,0.5,train
native-country,Jamaica,66,0.5,0.2857142857142857,0.3636363636363636,train
native-country,South,60,0.75,0.6,0.6666666666666665,train
native-country,England,68,0.7777777777777778,0.6086956521739131,0.6829268292682927,train
native-country,Canada,102,0.8148148148148148,0.7096774193548387,0.7586206896551724,train
native-country,Dominican-Republic,55,1.0,0.0,0.0,train
native-country,Poland,48,0.8571428571428571,0.6,0.7058823529411764,train
native-country,Thailand,15,1.0,1.0,1.0,train
native-country,Peru,23,1.0,0.0,0.0,train
native-country,France,22,0.9,0.9,0.9,train
native-country,Honduras,12,1.0,1.0,1.0,train
native-country,Ecuador,18,0.5,0.5,0.5,train
native-country,Italy,62,0.875,0.6666666666666666,0.7567567567567567,train
native-country,Vietnam,57,0.6666666666666666,0.4,0.5,train
native-country,Taiwan,44,0.8333333333333334,0.8823529411764706,0.8571428571428571,train
native-country,Hungary,11,1.0,0.6666666666666666,0.8,train
native-country,Outlying-US(Guam-USVI-etc),8,1.0,1.0,1.0,train
native-country,Portugal,31,1.0,0.25,0.4,train
native-country,Guatemala,52,1.0,0.0,0.0,train
native-country,Japan,52,0.9,0.8181818181818182,0.8571428571428572,train
native-country,Columbia,49,0.6666666666666666,1.0,0.8,train
native-country,Laos,12,0.5,1.0,0.6666666666666666,train
native-country,Cambodia,15,0.8333333333333334,0.8333333333333334,0.8333333333333334,train
native-country,China,64,0.7619047619047619,0.8888888888888888,0.8205128205128205,train
native-country,India,74,0.8,0.7741935483870968,0.7868852459016393,train
native-country,Scotland,9,1.0,1.0,1.0,train
native-country,Hong,13,1.0,0.6666666666666666,0.8,train
native-country,Greece,22,0.7777777777777778,0.875,0.823529411764706,train
native-country,Holand-Netherlands,1,1.0,1.0,1.0,train
native-country,Yugoslavia,12,0.5,0.25,0.3333333333333333,train
native-country,Nicaragua,27,0.5,1.0,0.6666666666666666,train
overall,Overall,6513,0.8001464128843339,0.6664634146341464,0.7272122421823022,test
education,HS-grad,2142,0.8095238095238095,0.3469387755102041,0.4857142857142857,test
education,Masters,360,0.8108108108108109,0.9137055837563453,0.8591885441527446,test
education,7th-8th,118,0.5,0.3333333333333333,0.4,test
education,Assoc-voc,270,0.7636363636363637,0.6,0.6719999999999999,test
education,Prof-school,121,0.9019607843137256,0.9787234042553192,0.9387755102040816,test
education,Some-college,1404,0.7830188679245284,0.5514950166112956,0.6471734892787524,test
education,Doctorate,77,0.875,0.918032786885246,0.8959999999999999,test
education,Bachelors,1094,0.7871900826446281,0.8054968287526427,0.7962382445141065,test
education,12th,91,1.0,0.4,0.5714285714285715,test
education,Preschool,11,0.0,1.0,0.0,test
education,Assoc-acdm,215,0.6491228070175439,0.74,0.6915887850467289,test
education,11th,253,1.0,0.5454545454545454,0.7058823529411764,test
education,10th,186,1.0,0.4117647058823529,0.5833333333333334,test
education,9th,93,1.0,0.25,0.4,test
education,5th-6th,48,1.0,0.0,0.0,test
education,1st-4th,30,1.0,0.0,0.0,test
marital-status,Never-married,2089,0.9285714285714286,0.4859813084112149,0.6380368098159509,test
marital-status,Married-civ-spouse,3064,0.789093825180433,0.7028571428571428,0.7434831885153003,test
marital-status,Widowed,192,1.0,0.2631578947368421,0.4166666666666667,test
marital-status,Divorced,910,0.9148936170212766,0.4673913043478261,0.6187050359712231,test
marital-status,Separated,184,0.8571428571428571,0.4,0.5454545454545455,test
marital-status,Married-spouse-absent,70,1.0,0.6,0.7499999999999999,test
marital-status,Married-AF-spouse,4,0.0,0.0,0.0,test
occupation,Adm-clerical,787,0.7714285714285715,0.5094339622641509,0.6136363636363636,test
occupation,Prof-specialty,798,0.8132992327365729,0.8390501319261213,0.8259740259740258,test
occupation,Exec-managerial,837,0.8235294117647058,0.8064516129032258,0.8149010477299184,test
occupation,Tech-support,212,0.7692307692307693,0.7017543859649122,0.7339449541284404,test
occupation,Other-service,622,1.0,0.16,0.2758620689655173,test
occupation,?,345,0.9047619047619048,0.5757575757575758,0.7037037037037038,test
occupation,Sales,739,0.8012422360248447,0.6482412060301508,0.7166666666666666,test
occupation,Farming-fishing,195,0.9230769230769232,0.4285714285714285,0.5853658536585366,test
occupation,Machine-op-inspct,411,0.6875,0.4,0.5057471264367817,test
occupation,Craft-repair,843,0.7428571428571429,0.3939393939393939,0.5148514851485148,test
occupation,Transport-moving,294,0.6774193548387096,0.3559322033898305,0.4666666666666666,test
occupation,Handlers-cleaners,259,0.75,0.5454545454545454,0.631578947368421,test
occupation,Protective-serv,143,0.7547169811320755,0.7142857142857143,0.7339449541284405,test
occupation,Priv-house-serv,27,1.0,1.0,1.0,test
occupation,Armed-Forces,1,1.0,1.0,1.0,test
relationship,Not-in-family,1632,0.9381443298969072,0.5027624309392266,0.6546762589928058,test
relationship,Husband,2715,0.783641160949868,0.7105263157894737,0.7452948557089083,test
relationship,Unmarried,710,0.8125,0.3023255813953488,0.4406779661016948,test
relationship,Own-child,963,0.8333333333333334,0.3571428571428571,0.5,test
relationship,Wife,307,0.8504672897196262,0.6363636363636364,0.7280000000000001,test
relationship,Other-relative,186,0.6666666666666666,0.4,0.5,test
race,White,5617,0.8047808764940239,0.667989417989418,0.7300325262016625,test
race,Amer-Indian-Eskimo,72,0.6666666666666666,0.6666666666666666,0.6666666666666666,test
race,Black,578,0.8148148148148148,0.5945945945945946,0.6875,test
race,Asian-Pac-Islander,197,0.6666666666666666,0.7272727272727273,0.6956521739130435,test
race,Other,49,1.0,0.75,0.8571428571428571,test
sex,Female,2114,0.8758620689655172,0.5594713656387665,0.6827956989247312,test
sex,Male,4399,0.7911547911547911,0.6836518046709129,0.7334851936218679,test
native-country,United-States,5866,0.8009592326139089,0.6631369953673064,0.7255611875452571,test
native-country,Mexico,118,0.75,1.0,0.8571428571428571,test
native-country,Peru,8,1.0,1.0,1.0,test
native-country,India,26,0.6923076923076923,1.0,0.8181818181818181,test
native-country,?,104,0.7931034482758621,0.6764705882352942,0.7301587301587301,test
native-country,Japan,10,0.5,1.0,0.6666666666666666,test
native-country,South,20,0.75,0.5,0.6,test
native-country,England,22,1.0,0.8571428571428571,0.923076923076923,test
native-country,Taiwan,7,1.0,1.0,1.0,test
native-country,Jamaica,15,1.0,0.0,0.0,test
native-country,Dominican-Republic,15,1.0,1.0,1.0,test
native-country,Ecuador,10,1.0,0.5,0.6666666666666666,test
native-country,El-Salvador,21,1.0,1.0,1.0,test
native-country,Nicaragua,7,1.0,1.0,1.0,test
native-country,Puerto-Rico,28,1.0,0.8,0.888888888888889,test
native-country,Poland,12,0.5,0.5,0.5,test
native-country,Iran,5,1.0,1.0,1.0,test
native-country,Philippines,38,0.7777777777777778,1.0,0.8750000000000001,test
native-country,Italy,11,1.0,0.5,0.6666666666666666,test
native-country,Outlying-US(Guam-USVI-etc),6,1.0,1.0,1.0,test
native-country,Canada,19,0.6666666666666666,0.25,0.3636363636363636,test
native-country,Hong,7,0.6666666666666666,0.6666666666666666,0.6666666666666666,test
native-country,Yugoslavia,4,1.0,1.0,1.0,test
native-country,Columbia,10,1.0,1.0,1.0,test
native-country,Vietnam,10,1.0,1.0,1.0,test
native-country,Cuba,17,1.0,0.5,0.6666666666666666,test
native-country,Guatemala,12,1.0,1.0,1.0,test
native-country,Cambodia,4,0.5,1.0,0.6666666666666666,test
native-country,China,11,0.6666666666666666,1.0,0.8,test
native-country,Greece,7,1.0,1.0,1.0,test
native-country,Haiti,5,1.0,1.0,1.0,test
native-country,Laos,6,1.0,0.0,0.0,test
native-country,France,7,0.0,0.0,0.0,test
native-country,Germany,22,0.8,0.6666666666666666,0.7272727272727272,test
native-country,Ireland,6,1.0,0.5,0.6666666666666666,test
native-country,Scotland,3,1.0,1.0,1.0,test
native-country,Thailand,3,1.0,1.0,1.0,test
